Nombre,Brand,Link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Cerveza Belga Lager 5.2° 354 cc,Stella Artois,https://www.jumbo.cl/cerveza-stella-artois-lata-354-cc-nacional/p,,$949,,Código: 738099,"Cerveza con más de 600 años de tradición Belga que hace un momento más especial. Elaborada con ingredientes premium que hacen de Stella Artois, una cerveza de alta calidad con un sabor original",https://jumbo.vtexassets.com/arquivos/ids/170114-750-750?width=750&height=750&aspect=true
Cerveza Krossout 4.2° botella 330 cc,Kross,https://www.jumbo.cl/pack-cerveza-krossout-330cc/p,,$1.450,,Código: 1836668,"KrossOut es la cerveza más refrescante dentro de Kross. Sobre un fondo ligero de cuatro maltas que aportan suaves notas a galleta, cereal y una textura suave, se expresan cuatro variedades de lúpulo con veraniegas aromas tropicales y cítricos.",https://jumbo.vtexassets.com/arquivos/ids/365087-750-750?width=750&height=750&aspect=true
Cerveza Strong Ale 7.0° 750 cc,Mestra,https://www.jumbo.cl/cerveza-mestra-750-cc/p,,$3.840,,Código: 1667615,"Cerveza Strong Scotch madurada con chips de roble americano que le proporcionan intensas notas licorosas y aromas a madera, caramelo y toffe. Su color levemente más oscuro que la cerveza base se define en tonalidades de caramelo intenso con destellos dorados, acompañado de una espuma permanentemente color moca. De gran intensidad y complejidad en boca gracias a la mezcla armoniosa de sus componentes.",https://jumbo.vtexassets.com/arquivos/ids/197150-750-750?width=750&height=750&aspect=true
Cerveza 8.5° botella 750 cc,Duvel,https://www.jumbo.cl/cerveza-maredsous-0-75-l-duvel-importada/p,,$6.590,,Código: 1615543,"Duvel es una cerveza natural con un amargor sutil, un aroma refinado y un fuerte sabor a lúpulo. El proceso de elaboración de 90 días garantiza un estilo auténtico, una perla delicada y un sabor suave y agradable.",https://jumbo.vtexassets.com/arquivos/ids/180764-750-750?width=750&height=750&aspect=true
Cerveza Bud Light 355 cc,Bud Light,https://www.jumbo.cl/budlight-355-cc-1859556/p,,$1.050,,Código: 1859556,.,https://jumbo.vtexassets.com/arquivos/ids/454147-750-750?width=750&height=750&aspect=true
Cerveza Ámbar 350 cc,Escudo,https://www.jumbo.cl/cerveza-escudo-ambar-350-cc/p,,$750,,Código: 1828057,"Escudo Ámbar es una cerveza tipo Ale de intenso color cobrizo. La nobleza de sus maltas caramelos le otorgan un cuerpo robusto, y un sabor redondo y a la vez refrescante, ideal para quienes disfrutan de experiencias cervezas diferentes a las convención",https://jumbo.vtexassets.com/arquivos/ids/425328-750-750?width=750&height=750&aspect=true
Cerveza pale ale 4.5° botella 375 cc,Coopers,https://www.jumbo.cl/cerveza-pale-ale-coopers-4-5-375-cc/p,,$1.599,,Código: 455585,"Cerveza australiana de color dorado rubio, tipo Pale Ale. En nariz, lúpulo frutal y suaves toques de malta. En boca, amargor ligero, sabor fresco y delicado.",https://jumbo.vtexassets.com/arquivos/ids/286584-750-750?width=750&height=750&aspect=true
Pack 4 un. cerveza lata 500 cc,Carlsberg,https://www.jumbo.cl/pack-cerveza-carlsberg-4-unid-500-cc-c-u/p,,$5.550,,Código: 376542-PAK,"Cerveza tipo Lager importada directamente desde Dinamarca. Presenta sutiles notas a manzana y miel, con un sabor muy balanceado que acompañará perfectamente a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/342056-750-750?width=750&height=750&aspect=true
Cerveza Hazy Ipa 6.5° lata 355 cc,Brooklyn,https://www.jumbo.cl/cerv-brooklyn-hazy-ipa-6-5-lata-355cc-1899599/p,,$2.290,,Código: 1899599,"Así como el movimiento Pop Art creó arte grande y audaz para que todos lo disfrutaran, el Pulp Art es una Hazy IPA es para todos. Esta obra maestra moderna es un delicioso desenfoque entre la cerveza y el arte, con notas del tamaño de una valla publicitaria de frutas tropicales brillantes y un final refrescante y suave. Pulp Art ofrece refrescos jugosos para todos, desde los aficionados a la neblina hasta los que acaban de descubrir el exuberante mundo de los lúpulos tropicales.",https://jumbo.vtexassets.com/arquivos/ids/459221-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza Doble Malta lata 473 cc,Becker,https://www.jumbo.cl/cerveza-becker-dm-lata-473cc-x-6-1881053-pak/p,,$4.590,,Código: 1881053-PAK,Cerveza Becker en su lata DM con un formato pack de 6 unidades con 473 cc como contenido neto. Ideal para una tarde calurosa o pasar un buen rato con los amigos.,https://jumbo.vtexassets.com/arquivos/ids/434067-750-750?width=750&height=750&aspect=true
