Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Vegetales tika furiosas,https://www.tottus.cl/tika-vegetales-tika-furiosas-20173512/p/,,TIKA - 212 G,"<div id=""OKTS_div"" data-ean=""7804630010131"" class=""jsx-273525516""></div>","$3.060 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN","Formato212 gAlto en sodionoAzucares totales por 100 gr g12,4 gHidratos de carbono disponibles por 100 gr g61,8 gSodio por porcion mg13 mgSellertottusGrasa total por 100 gr g23,9 gEnergia por 100 gr kcal475 kcalGrasa total por porcion g4,8 gAzucares totales por porcion g2,5 gAlto en caloriassiMarcatikaProteinas por porcion g0,6 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal95 kcalAlto en azucarnoSodio por 100 gr mg65 mgProteinas por 100 gr g3,2 g"
Papas Fritas Queso,https://www.tottus.cl/pringles-papas-fritas-queso-20246350/p/,,PRINGLES - 137 G,"<div id=""OKTS_div"" data-ean=""38000138577"" class=""jsx-273525516""></div>","$1.810 UN,$920 UN",Formato137 gAlto en sodionoAzucares totales por 100 gr g1.72 gHidratos de carbono disponibles por 100 gr g55.6 gSodio por porcion mg113 mgSellertottusGrasa total por 100 gr g30.2 gEnergia por 100 gr kcal516 kcalGrasa total por porcion g7.55 gAzucares totales por porcion g0.43 gAlto en caloriassiMarcapringlesProteinas por porcion g1.40 gUnidades por paquete1Alto en grasassiBusiness score1Energia por porcion kcal129 kcalAlto en azucarnoSodio por 100 gr mg452 mgProteinas por 100 gr g5.60 gSticker appsticker_jose_1
Papas Fritas Corte Americano,https://www.tottus.cl/tottus-papa-frita-corte-americano-tottus-400-g-20579852/p/,,TOTTUS - 400 G,"<div id=""OKTS_div"" data-ean=""7804672823065"" class=""jsx-273525516""></div>","$1.840 UN,$920 UN",Formato400 gMarcatottusSellertottusBusiness score1Sticker appproductostottusapp
Papas Fritas Tarro Empanada,https://www.tottus.cl/kryzpo-papas-tarro-empanada-kryzpo-130gr-caja-20605243/p/,,KRYZPO - 130 G,"<div id=""OKTS_div"" data-ean=""7802800533534"" class=""jsx-273525516""></div>","$1.499 UN,$920 UN",Formato130 gMarcakryzpoSellertottusBusiness score1Sticker appsticker_jose
Papas Fritas Stax Original 134 gr,https://www.tottus.cl/lays-papas-fritas-stax-original-20245052/p/,,LAYS - 134 G,"<div id=""OKTS_div"" data-ean=""7802000013607"" class=""jsx-273525516""></div>","$1.520 UN,$920 UN",Formato134 gAlto en sodiosiSellertottusAlto en caloriassiMarcalaysAlto en grasasnoBusiness score1Alto en azucarnoSticker appsticker_jose
Papas Fritas Rústicas Queso Orégano,https://www.tottus.cl/marco-polo-papas-fritas-rusticas-queso-oregano-20316883/p/,,MARCO-POLO - 185 G,"<div id=""OKTS_div"" data-ean=""7802420002380"" class=""jsx-273525516""></div>","$1.930 UN,$920 UN",Formato185 gAlto en sodionoAzucares totales por 100 gr g3.0 gHidratos de carbono disponibles por 100 gr g55.5 gSodio por porcion mg78.2 mgSellertottusGrasa total por 100 gr g30.9 gEnergia por 100 gr kcal518 kcalGrasa total por porcion g7.7 gAzucares totales por porcion g0.7 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1.1 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal129 kcalAlto en azucarnoSodio por 100 gr mg313 mgProteinas por 100 gr g4.4 g
Snack Chiloe,https://www.tottus.cl/tika-snack-chiloe-tika-018-caja-20759021/p/,,TIKA - UN,"<div id=""OKTS_div"" data-ean=""7804630011060"" class=""jsx-273525516""></div>","$3.030 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN",FormatounMarcatikaSellertottus
Snack Furiosas,https://www.tottus.cl/tika-snack-furiosas-tika-018-caja-20759020/p/,,TIKA - UN,"<div id=""OKTS_div"" data-ean=""7804630011053"" class=""jsx-273525516""></div>","$3.030 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN",FormatounMarcatikaSellertottus
Snack Patagonia,https://www.tottus.cl/tika-snack-patagonia-tika-018-caja-20759019/p/,,TIKA - UN,"<div id=""OKTS_div"" data-ean=""7804630011046"" class=""jsx-273525516""></div>","$3.030 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN",FormatounMarcatikaSellertottus
Papas Fritas Queso Mantecoso,https://www.tottus.cl/marco-polo-papas-fritas-queso-mant-marco-polo-200g-20639115/p/,,MARCO-POLO - 200 G,"<div id=""OKTS_div"" data-ean=""7802420006296"" class=""jsx-273525516""></div>","$1.690 UN,$1.690 UN,$4.190 UN,$3.990 UN,$1.360 UN",Formato200 gMarcamarco-poloSellertottus
Papas Fritas Stax Cheddar 134 gr,https://www.tottus.cl/lays-papas-fritas-stax-cheddar-20245051/p/,,LAYS - 134 G,"<div id=""OKTS_div"" data-ean=""7802000013614"" class=""jsx-273525516""></div>","$1.520 UN,$920 UN",Formato134 gAlto en sodionoAzucares totales por 100 gr g3.9 gHidratos de carbono disponibles por 100 gr g57 gSodio por porcion mg179 mgSellertottusGrasa total por 100 gr g32 gEnergia por 100 gr kcal544 kcalGrasa total por porcion g8 gAzucares totales por porcion g0.9 gAlto en caloriassiMarcalaysProteinas por porcion g2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal140 kcalAlto en azucarnoSodio por 100 gr mg714 mgProteinas por 100 gr g7.1 gSticker appsticker_jose
