Nombre,Brand,Title_link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Tika chips nativas andinas 35 g,Tika,https://www.jumbo.cl/tika-chips-nativas-andinas-35-g/p,,$759,,Código: 1756276,"Papas Nativas Hilos Andinas con Sal de Mar y Sal Andina Rosada. Los Snack Tikas son Artesanales, 100% Natural, Veganos y sin Gluten.",https://jumbo.vtexassets.com/arquivos/ids/310868-750-750?width=750&height=750&aspect=true
Papas fritas rústicas Aceto y sal de mar 185 g,Marco Polo,https://www.jumbo.cl/papas-fritas-rusticas-ace-sal-mar-185-gr/p,,$1.939,,Código: 1838161,Papas fritas rústicas Marco Polo con sabor aceto y sal de mar. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/337802-750-750?width=750&height=750&aspect=true
Papas fritas hilo Primor 200 g,Primor,https://www.jumbo.cl/papas-fritas-caseras-primor-calentar-30-segundos-y-listas-para-servir-doy-pack-200-grs/p,,$2.219,,Código: 271734,Papas fritas al hilo estilo caseras con un gran sabor para compartir y disfrutar en ocasiones especiales o simplemente viendo una pelicula con un snack de calidad.,https://jumbo.vtexassets.com/arquivos/ids/446099-750-750?width=750&height=750&aspect=true
Papas fritas tipo americano 110 g,Evercrisp,https://www.jumbo.cl/papas-fritas-lays-tipo-americano-110-gr-1895043/p,,$990,,Código: 1895043,"Papas Lays nunca pueden faltar en tus fiestas, picoteos o celebraciones. Su exclusivo corte americano es el preferido las convierte en uno de los snacks preferidos de los chilenos.",https://jumbo.vtexassets.com/arquivos/ids/459850-750-750?width=750&height=750&aspect=true
Papas fritas queso 260 g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-280-g-queso/p,$2.490,,,Código: 1615846,"El formato favorito de los kryzpoadictos porque de aquí pueden comer todos, aunque también existen algunos que no las comparten con nadie y no los culpamos.",https://jumbo.vtexassets.com/arquivos/ids/438707-750-750?width=750&height=750&aspect=true
Papas fritas BBQ 158 g,Pringles,https://www.jumbo.cl/papas-fritas-pringles-bbq-158-g/p,,$2.190,,Código: 1768058,"Memphis tiene muchas cosas buenas, pero la barbacoa es la que realmente los vuelve famosos. Nuestro sabor a Memphis BBQ captura lo asombroso del Rey del Rock and Roll, el ritmo del blues y la satisfacción de una novela gótica del sur en una increíble papa crujiente. Es como comer un snack a 3 metros de Beale Street.",https://jumbo.vtexassets.com/arquivos/ids/409828-750-750?width=750&height=750&aspect=true
Papas fritas merkén 130 g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-merken-130-gr-1880241/p,,$1.649,,Código: 1880241,"¡Qué ardientes que son! Las nuevas papas fritas Kryzpo tienen el típico sabor chileno del merkén. Son tan ricas que no puedes compartir ni una sola, aunque vengan en formato familiar.",https://jumbo.vtexassets.com/arquivos/ids/437456-750-750?width=750&height=750&aspect=true
"Papas Fritas Boulder Jalapeño, Cheddar, 142 grs.",Boulder,https://www.jumbo.cl/papas-fritas-boulder-jalapeno-cheddar-142-grs/p,,$2.599,,Código: 1232068,Estas sabrosas papas fritas están llenas de queso cheddar y tienen un toque picante con el calor del jalapeño.,https://jumbo.vtexassets.com/arquivos/ids/371809-750-750?width=750&height=750&aspect=true
Papas fritas tomate 185 g,Buka,https://www.jumbo.cl/papas-fritas-buka-tomate-185-g/p,,$1.979,,Código: 1747067,"Las papas fritas artesanales de Buka son 100% naturales y elaboradas con sal de mar de Cahuil. Esta vez, deliciosas papas fritas con tomate.",https://jumbo.vtexassets.com/arquivos/ids/309239-750-750?width=750&height=750&aspect=true
Takis Wapas fuego 170 g,Takis,https://www.jumbo.cl/takis-wapas-fuego-170-gr-1903253/p,,$2.290,,Código: 1903253,Deliciosas papas fritas con sabor a ají y limón. Tienen corte ondulado y un intenso sabor. Ideal para acompañar un picoteo. Contiene 170 g.,https://jumbo.vtexassets.com/arquivos/ids/465351-750-750?width=750&height=750&aspect=true
