Nombre,Brand,Link,price-label,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Proteína de soya bolsa 300 g,Mi Tierra,https://www.jumbo.cl/carne-de-soya-mi-tierra-bolsa-300-g/p,(Normal),,$1.799,,Código: 270478,Proteína vegetal libre de grasas y colesterol que aporta fibra y minerales. Tiene un sabor suave y un color muy similar a  la carne de vacuno convirtiéndola  en un excelente reemplazo de la carne.,https://jumbo.vtexassets.com/arquivos/ids/395993-750-750?width=750&height=750&aspect=true
Cous Cous 250 g,Talliani,https://www.jumbo.cl/cous-cous-talliani-250-g/p,(Normal),,$1.569,,Código: 1652525,"Acompaña todas tus comidas con Cous Cous Talliani. Una propuesta sana, que destaca por su buen sabor y que solo requiere de 5 minutos para estar listo.",https://jumbo.vtexassets.com/arquivos/ids/417525-750-750?width=750&height=750&aspect=true
Arroz grado 1 grano largo delgado 1 kg,Tucapel,https://www.jumbo.cl/arroz-tucapel-grado-1-blue-bonnet-1-kg/p,(Normal),,$1.090,,Código: 1716104,"Arroz Grado 1 Tucapel con granos largos, delgados y graneados en su punto. El arroz grado 1 contiene un 95% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/458997-750-750?width=750&height=750&aspect=true
Lentejas 6 mm 500 g,Campo Lindo,https://www.jumbo.cl/lentejas-campo-lindo-500-g-6-mm-2/p,(Normal),,$939,,Código: 1408733,"Las lentejas son una saludable fuente de proteínas y energía para el organismo. También aportan abundantes minerales y proteínas. Prueba el sabor natural de Campo Lindo, por una dieta basada en legumbres.",https://jumbo.vtexassets.com/arquivos/ids/161585-750-750?width=750&height=750&aspect=true
Quínoa 250 g,Carozzi,https://www.jumbo.cl/quinoa-carozzi-250-g/p,(Normal),,$2.099,,Código: 1675866,"Un versátil y nutritivo ?súper alimento?, ideal para consumirlo en familia y en una gran variedad de preparaciones. Preparación Básica: Este producto no necesita lavado previo. En una olla sofríe 1 taza de Quinoa Carozzi durante 2 minutos. Agrega sal y aliños a gusto. Vierta 2 tazas de agua recién hervida. Cocina a fuego lento en olla tapada durante 20 minutos o hasta la evaporación total del agua.",https://jumbo.vtexassets.com/arquivos/ids/452936-750-750?width=750&height=750&aspect=true
Lentejas 6 mm bolsa 1 kg,Campo Lindo,https://www.jumbo.cl/lentejas-campo-lindo-bolsa-1-kg-6mm-2/p,(Normal),,$2.149,,Código: 266316,Lentejas 6 mm bolsa 1 kg. Es idónea y apta para cualquier preparación que tengas en mente. Se caracteriza por su excelente sabor.,https://jumbo.vtexassets.com/arquivos/ids/161588-750-750?width=750&height=750&aspect=true
Arroz grado 1 grano largo pregraneado 1 kg,Banquete,https://www.jumbo.cl/arroz-grado-1-banquete-1-kg-pregraneado-grano-largo/p,(Normal),,$1.399,,Código: 264540,"Delicioso Arroz grado 1 grano largo pregraneado 1 kg, perfecto para tus preparaciones favoritas. Badia te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/414148-750-750?width=750&height=750&aspect=true
Arroz grado 1 grano largo y ancho 1 kg,Cuisine & Co,https://www.jumbo.cl/arroz-cuisine-and-co-g1-grano-largo-ancho1kg-1888808/p,(Normal),,$1.299,,Código: 1888808,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",https://jumbo.vtexassets.com/arquivos/ids/453426-750-750?width=750&height=750&aspect=true
"Arroz Taj Mahal Basmati 1 kg, grado 1, grano largo",Taj Mahal,https://www.jumbo.cl/arroz-taj-mahal-basmati-1-kg-grado-1-grano-largo/p,(Normal),,$4.889,,Código: 264648,"El basmati es una variedad de arroz caracterizada por tener un grano largo, y es famoso por sus delicadas fragancias y su exquisito sabor. Su nombre en hindi significa ""reina de las fragancias"".",https://jumbo.vtexassets.com/arquivos/ids/180131-750-750?width=750&height=750&aspect=true
"Arroz especial Tucapel 1 kg, basmati, pregraneado",Tucapel,https://www.jumbo.cl/arroz-especial-tucapel-1-kg-basmati-pregraneado/p,(Normal),,$3.599,,Código: 1538709,Arroz Pregraneado Tucapel Basmati especial para preparar comida India. Un arroz aromático de grano largo que te llevara a explorar los ricos sabores de la comida india.,https://jumbo.vtexassets.com/arquivos/ids/458983-750-750?width=750&height=750&aspect=true
Porotos tórtola 1 kg,Banquete,https://www.jumbo.cl/porotos-tortola-banquete-bolsa-1-kg-2/p,(Ref.),$2.799,,,Código: 354889,"Deliciosos Porotos tórtola 1 kg, especiales para tus preparaciones favoritas. De increíble sabor, ideal para compartir una rica comida.",https://jumbo.vtexassets.com/arquivos/ids/459010-750-750?width=750&height=750&aspect=true
Proteína de soya Gourmet bolsa 300 g,Gourmet,https://www.jumbo.cl/carne-de-soya-gourmet-bolsa-300-g-vegetal/p,(Normal),,$1.579,,Código: 270480,"La Carne de Soya es ideal como alternativa a la carne de vacuno, en preparaciones como empanadas, hamburguesas, papas rellenas, etc. También se puede mezclar con carne de vacuno. Producto vegano y vegetariano.",https://jumbo.vtexassets.com/arquivos/ids/442123-750-750?width=750&height=750&aspect=true
Porotos blancos 1 kg,Banquete,https://www.jumbo.cl/poroto-espanol-banquete-bolsa-1-kg/p,(Normal),,$2.849,,Código: 954057,"Deliciosos Porotos blancos 1 kg, perfectos para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/459017-750-750?width=750&height=750&aspect=true
Arroz grado 1 de 1 kg,Iansa Agro,https://www.jumbo.cl/arroz-iansa-agro-g1-largo-ancho-1kg-1895403/p,(Ref.),$1.249,,,Código: 1895403,"Arroz Grado 1 de grano largo ancho, es el complemento perfecto para disfrutar tus mejores comidas con tus seres queridos. Es un producto nacional y de calidad, que viene en su amigable envase 100% reciclable. Formato 1 kg.",https://jumbo.vtexassets.com/arquivos/ids/470692-750-750?width=750&height=750&aspect=true
Quinoa tricolor 400 g,Banquete,https://www.jumbo.cl/quinoa-banquete-tricolor-400-g/p,(Normal),,$3.449,,Código: 1686060,"Deliciosa Quinoa tricolor 400 g, perfecta para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/458996-750-750?width=750&height=750&aspect=true
Arroz grado 2 Premium grano largo y ancho 1 kg,Banquete,https://www.jumbo.cl/arroz-grado-2-banquete-1-kg-premium-grano-largo-y-ancho/p,(Normal),,$1.210,,Código: 264587,"Delicioso Arroz grado 2 Premium grano largo y ancho 1 kg, perfecto para tus preparaciones favoritas. Badia te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/414147-750-750?width=750&height=750&aspect=true
Garbanzos sin piel bolsa 1 kg,Campo Lindo,https://www.jumbo.cl/garbanzos-campo-lindo-bolsa-1-kg-sin-piel-2/p,(Normal),,$2.590,,Código: 265939,"El garbanzo es una excelente fuente de proteínas, minerales y vitaminas que ayudan a mantener las defensas de tu organismo. Prueba el sabor natural de Campo Lindo, por una dieta basada en legumbres.",https://jumbo.vtexassets.com/arquivos/ids/161584-750-750?width=750&height=750&aspect=true
Arroz risotto italiano Tucapel 1 kg,Tucapel,https://www.jumbo.cl/arroz-especial-tucapel-1-kg-risotto-italiano-pregraneado/p,(Normal),,$3.299,,Código: 1538710,"Arroz Carnaroli Tucapel especial para Risottos, con granos cortos, redondos y cremosos ideal para preparar y disfrutar de un fino risotto.",https://jumbo.vtexassets.com/arquivos/ids/458984-750-750?width=750&height=750&aspect=true
