Name,SKU,Brand,Title_link,Img,product-attribute,Price
Papas Fritas Lay's Corte Americano sabor original,(Ref: 741896),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-Lay-s-Corte-Americano-sabor-original/982705,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/982705a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",520 g,$2.550
Papas Fritas corte americano,(Ref: 743573),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-corte-americano/890847,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/890847a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",42 g,$500
Papas Fritas Sabor Orégano,(Ref: 760780),Lay's,https://www.lider.cl/supermercado/product/Lay-s-Papas-Fritas-Sabor-Orégano/6895,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6895a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",200 g,$1.650
Papas Fritas Pimienta,(Ref: 627202),Tika,https://www.lider.cl/supermercado/product/Tika-Papas-Fritas-Pimienta/882752,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/882752a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",180 g,$2.740
Coco Slice,(Ref: 651001),Frutisa,https://www.lider.cl/supermercado/product/Frutisa-Coco-Slice/924853,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/924853a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",80 g,$1.550
Papas Fritas Patriotas,(Ref: 650979),Tika,https://www.lider.cl/supermercado/product/Tika-Papas-Fritas-Patriotas/924831,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/924831a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",180 g,$2.740
Papas Fritas Corte Americano,(Ref: 728896),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-Corte-Americano/891612,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/891612a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",380 g,$2.140
Papas fritas corte Americano,(Ref: 782098),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-fritas-corte-Americano/1158468,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1158468a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",110 g,$990
Papas Fritas Lay's Corte Americano,(Ref: 832444),Evercrisp,https://www.lider.cl/supermercado/product/Evercrisp-Papas-Fritas-Lay-s-Corte-Americano/1253706,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1253706a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",200 g,$1.000
Papas Fritas Rusticas Sal De Mar,(Ref: 835396),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Rusticas-Sal-De-Mar/1259370,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1259370a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",150 g,$1.000
Papas fritas merken tarro,(Ref: 760781),Kryzpo,https://www.lider.cl/supermercado/product/Kryzpo-Papas-fritas-merken-tarro/1118485,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1118485a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",130 g,$1.590
Papas Fritas Artesanales Ajo Sueve Tostado,(Ref: 777705),Buka,https://www.lider.cl/supermercado/product/Buka-Papas-Fritas-Artesanales-Ajo-Sueve-Tostado/1150212,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1150212a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",185 g,$1.850
Papas Fritas Artesanales sabor Tomate,(Ref: 761276),Buka,https://www.lider.cl/supermercado/product/Buka-Papas-Fritas-Artesanales-sabor-Tomate/1119400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1119400a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",185 g,$1.850
Papas Fritas Artesanas Sal de mar,(Ref: 777641),Lays,https://www.lider.cl/supermercado/product/Lays-Papas-Fritas-Artesanas-Sal-de-mar/1150086,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1150086a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",270 g,$2.350
